replicate,balanced_accuracy,macro_f1
1,0.9098060293628192,0.8763555122595973
2,0.9080517792877217,0.8700935979609127
3,0.904636149163357,0.8849779399506114
4,0.8939637902735003,0.8969275728792047
5,0.8887386961795458,0.8761523884749698
6,0.8881076725887252,0.860100322481891
7,0.882484178291476,0.8567010653103582
8,0.9009977330272126,0.8753597620930347
9,0.8890307232967096,0.851743323422843
10,0.8906455376293639,0.8758496013055215
11,0.8784314079898069,0.8592652125660164
12,0.9114374128231244,0.8810508819416202
13,0.868132797570102,0.864325341449967
14,0.9110908628647009,0.87590766648943
15,0.9253719886214552,0.9122440372218046
16,0.9011535360833839,0.8965115599669323
17,0.8899466693001783,0.8865519149829242
18,0.8981927600992664,0.8646511335901955
19,0.8855719810130341,0.8775587541336785
20,0.8893345192343048,0.8656011142758524
