resolution,seed,n_clusters,silhouette,calinski_harabasz,davies_bouldin,metric_cells
0.4,0,17,0.21600039303302765,6393.9647617421015,1.4783872745190978,3000
0.4,17,17,0.2212570756673813,6493.77547832898,1.5229576010549848,3000
0.4,42,18,0.21380110085010529,6412.145150055285,1.4870292170876267,3000
0.4,73,16,0.22578702867031097,6728.474148513234,1.4743527248984454,3000
0.4,101,17,0.2122926265001297,6270.509995992942,1.4960396006477288,3000
0.8,0,21,0.21493998169898987,5845.164702405397,1.54179839295375,3000
0.8,17,21,0.21772943437099457,5815.48594446393,1.5435838240106399,3000
0.8,42,22,0.1933944672346115,5619.180968646347,1.5133597239784782,3000
0.8,73,21,0.21594835817813873,5823.596509004135,1.5467022461342093,3000
0.8,101,20,0.2012883722782135,5916.563679776409,1.5285335342792696,3000
1.2,0,31,0.1543937623500824,4284.42711209436,1.7311844975985133,3000
1.2,17,32,0.1576654314994812,4184.456558889285,1.7281678600622197,3000
1.2,42,30,0.1555226892232895,4394.162133341952,1.7330593410917468,3000
1.2,73,32,0.1509932428598404,4170.673926609967,1.7568021723746745,3000
1.2,101,30,0.17299634218215942,4363.020360710313,1.7434515395995036,3000
