field,cluster,value,cells,within_cluster_fraction
patient,0,1,503,0.47452830188679246
patient,0,2,31,0.029245283018867925
patient,0,3,120,0.11320754716981132
patient,0,4,358,0.33773584905660375
patient,0,5,36,0.033962264150943396
patient,0,6,12,0.011320754716981131
patient,1,1,48,0.01579466929911155
patient,1,2,21,0.006910167818361303
patient,1,3,6,0.0019743336623889436
patient,1,4,2927,0.9631457716354064
patient,1,5,36,0.011846001974333662
patient,1,6,1,0.0003290556103981573
patient,10,1,0,0.0
patient,10,2,0,0.0
patient,10,3,0,0.0
patient,10,4,0,0.0
patient,10,5,0,0.0
patient,10,6,9017,1.0
patient,11,1,1,0.00033101621979476995
patient,11,2,40,0.013240648791790799
patient,11,3,2976,0.9851042701092354
patient,11,4,0,0.0
patient,11,5,4,0.0013240648791790798
patient,11,6,0,0.0
patient,12,1,3,0.001088929219600726
patient,12,2,5,0.0018148820326678765
patient,12,3,4,0.0014519056261343012
patient,12,4,1946,0.7063520871143376
patient,12,5,584,0.211978221415608
patient,12,6,213,0.07731397459165154
patient,13,1,0,0.0
patient,13,2,0,0.0
patient,13,3,1,0.00011372682815876265
patient,13,4,0,0.0
patient,13,5,8790,0.9996588195155237
patient,13,6,2,0.0002274536563175253
patient,14,1,0,0.0
patient,14,2,0,0.0
patient,14,3,0,0.0
patient,14,4,4,0.002326934264107039
patient,14,5,201,0.1169284467713787
patient,14,6,1514,0.8807446189645143
patient,15,1,0,0.0
patient,15,2,0,0.0
patient,15,3,0,0.0
patient,15,4,0,0.0
patient,15,5,100,0.6578947368421053
patient,15,6,52,0.34210526315789475
patient,16,1,0,0.0
patient,16,2,0,0.0
patient,16,3,0,0.0
patient,16,4,0,0.0
patient,16,5,6723,1.0
patient,16,6,0,0.0
patient,2,1,1755,0.9988616960728515
patient,2,2,0,0.0
patient,2,3,1,0.0005691519635742744
patient,2,4,1,0.0005691519635742744
patient,2,5,0,0.0
patient,2,6,0,0.0
patient,3,1,170,0.04577275175013463
patient,3,2,756,0.2035541195476575
patient,3,3,127,0.0341949380721594
patient,3,4,707,0.1903607969843834
patient,3,5,1791,0.48222940226171246
patient,3,6,163,0.043887991383952614
patient,4,1,4,0.0014049877063575693
patient,4,2,5,0.0017562346329469617
patient,4,3,18,0.006322444678609062
patient,4,4,152,0.053389532841587636
patient,4,5,47,0.01650860554970144
patient,4,6,2621,0.9206181945907973
patient,5,1,9,0.011494252873563218
patient,5,2,9,0.011494252873563218
patient,5,3,10,0.01277139208173691
patient,5,4,15,0.019157088122605363
patient,5,5,388,0.4955300127713921
patient,5,6,352,0.4495530012771392
patient,6,1,40,0.012511729746637473
patient,6,2,4,0.0012511729746637473
patient,6,3,10,0.0031279324366593683
patient,6,4,2221,0.6947137941820457
patient,6,5,456,0.1426337191116672
patient,6,6,466,0.14576165154832654
patient,7,1,4,0.0010432968179447052
patient,7,2,34,0.008868022952529996
patient,7,3,9,0.002347417840375587
patient,7,4,284,0.07407407407407407
patient,7,5,175,0.04564423578508085
patient,7,6,3328,0.8680229525299947
patient,8,1,1,0.0016155088852988692
patient,8,2,7,0.011308562197092083
patient,8,3,3,0.004846526655896607
patient,8,4,397,0.6413570274636511
patient,8,5,209,0.3376413570274637
patient,8,6,2,0.0032310177705977385
patient,9,1,0,0.0
patient,9,2,2,0.0003440564252537416
patient,9,3,2,0.0003440564252537416
patient,9,4,3,0.0005160846378806125
patient,9,5,4,0.0006881128505074832
patient,9,6,5802,0.9981076896611044
sample,0,MSC1,503,0.47452830188679246
sample,0,MSC2,31,0.029245283018867925
sample,0,MSC3,120,0.11320754716981132
sample,0,MSC4,336,0.3169811320754717
sample,0,MSC4-Dura,22,0.020754716981132074
