replicate_field,replicate,field,cells,levels,clusters,nmi_with_cluster,ari_with_cluster
patient,1,cell_type,2538,6,10,0.37745576353166477,0.241529406727503
patient,1,cell_subtype,2538,15,10,0.6377756653640484,0.6533653538635753
patient,2,cell_type,914,6,10,0.7696250277264295,0.912474656781169
patient,2,cell_subtype,914,11,10,0.6852446650053103,0.8024103145519017
patient,3,cell_type,3287,6,12,0.4498550388035153,0.5487964292623306
patient,3,cell_subtype,3287,15,12,0.21431981501266875,0.04920706341549786
patient,4,cell_type,9015,6,11,0.71740517914255,0.7077058902835993
patient,4,cell_subtype,9015,15,11,0.6901206154991365,0.610784913887675
patient,5,cell_type,19544,6,13,0.5666540593150496,0.37640895228954446
patient,5,cell_subtype,19544,15,13,0.6400953226511823,0.6222664417332705
patient,6,cell_type,23545,6,12,0.658540631961234,0.5293587977795244
patient,6,cell_subtype,23545,14,12,0.6510373413304223,0.5473324327251238
