source_row_1based,gene_symbol,aggregated_row_1based
1,MIR1302-2HG,1
2,FAM138A,2
3,OR4F5,3
4,AL627309.1,4
5,AL627309.3,5
6,AL627309.2,6
7,AL627309.4,7
8,AL732372.1,8
9,OR4F29,9
10,AC114498.1,10
11,OR4F16,11
12,AL669831.2,12
13,AL669831.5,13
14,FAM87B,14
15,LINC00115,15
16,FAM41C,16
17,AL645608.7,17
18,AL645608.3,18
19,AL645608.5,19
20,AL645608.1,20
21,SAMD11,21
22,NOC2L,22
23,KLHL17,23
24,PLEKHN1,24
25,PERM1,25
26,AL645608.8,26
27,HES4,27
28,ISG15,28
29,AL645608.2,29
30,AGRN,30
31,AL645608.9,31
32,RNF223,32
33,C1orf159,33
34,LINC01342,34
35,AL390719.2,35
36,TTLL10-AS1,36
37,TTLL10,37
38,TNFRSF18,38
39,TNFRSF4,39
40,SDF4,40
41,B3GALT6,41
42,C1QTNF12,42
43,AL162741.1,43
44,UBE2J2,44
45,LINC01786,45
46,SCNN1D,46
47,ACAP3,47
48,PUSL1,48
49,INTS11,49
50,CPTP,50
51,TAS1R3,51
52,DVL1,52
53,MXRA8,53
54,AURKAIP1,54
55,CCNL2,55
56,MRPL20,56
57,AL391244.3,57
58,ANKRD65,58
59,AL391244.2,59
60,TMEM88B,60
61,LINC01770,61
62,VWA1,62
63,ATAD3C,63
64,ATAD3B,64
65,ATAD3A,65
66,TMEM240,66
67,SSU72,67
68,AL645728.1,68
69,FNDC10,69
70,AL691432.2,70
71,MIB2,71
72,MMP23B,72
73,CDK11B,73
74,FO704657.1,74
75,SLC35E2B,75
76,CDK11A,76
77,SLC35E2A,77
78,NADK,78
79,GNB1,79
80,AL109917.1,80
81,CALML6,81
82,TMEM52,82
83,CFAP74,83
84,AL391845.2,84
85,GABRD,85
86,AL391845.1,86
87,PRKCZ,87
88,AL590822.2,88
89,PRKCZ-AS1,89
90,FAAP20,90
91,AL590822.1,91
92,SKI,92
93,MORN1,93
94,RER1,94
95,PEX10,95
96,PLCH2,96
97,AL139246.1,97
98,AL139246.4,98
99,PANK4,99
100,HES5,100
101,AL139246.5,101
102,TNFRSF14-AS1,102
103,TNFRSF14,103
104,AL139246.3,104
105,FAM213B,105
106,MMEL1,106
107,AL831784.1,107
108,TTC34,108
109,AC242022.1,109
110,AL592464.2,110
111,AL592464.1,111
112,AL589702.1,112
113,ACTRT2,113
114,LINC00982,114
115,PRDM16,115
116,AL008733.1,116
117,AL590438.1,117
118,ARHGEF16,118
119,AL512413.1,119
120,MEGF6,120
121,AL513320.1,121
122,TPRG1L,122
123,WRAP73,123
124,TP73,124
125,AL136528.1,125
126,AL136528.2,126
127,CCDC27,127
128,SMIM1,128
129,LRRC47,129
130,AL365330.1,130
131,CEP104,131
132,DFFB,132
133,C1orf174,133
134,LINC01134,134
135,LINC01346,135
136,LINC01345,136
137,AL805961.1,137
138,AL805961.2,138
139,LINC01777,139
140,AL355602.1,140
141,Z98747.1,141
142,LINC01646,142
143,AJAP1,143
144,BX005132.2,144
145,BX005132.1,145
146,AL691497.1,146
147,AL139823.1,147
148,Z98259.3,148
149,Z98259.2,149
150,Z98259.1,150
151,AL365255.1,151
152,NPHP4,152
153,KCNAB2,153
154,CHD5,154
155,RPL22,155
156,AL031847.1,156
157,RNF207,157
158,ICMT,158
159,LINC00337,159
160,HES3,160
161,GPR153,161
162,ACOT7,162
163,AL031848.2,163
164,HES2,164
165,ESPN,165
166,AL031848.1,166
167,TNFRSF25,167
168,PLEKHG5,168
169,NOL9,169
170,TAS1R1,170
171,ZBTB48,171
172,KLHL21,172
173,PHF13,173
174,THAP3,174
175,DNAJC11,175
176,LINC01672,176
177,AL591163.1,177
178,CAMTA1-DT,178
179,CAMTA1,179
180,AL512330.1,180
181,Z97987.1,181
182,AL365194.1,182
183,AL359881.3,183
184,AL359881.2,184
185,AL359881.1,185
186,VAMP3,186
187,PER3,187
188,Z98884.1,188
189,UTS2,189
190,TNFRSF9,190
191,PARK7,191
192,AL034417.4,192
193,AL034417.3,193
194,ERRFI1,194
195,AL034417.2,195
196,LINC01714,196
197,AL358876.2,197
198,SLC45A1,198
199,RERE,199
200,AL096855.1,200
201,AL357552.2,201
202,ENO1,202
203,ENO1-AS1,203
204,CA6,204
205,SLC2A7,205
206,SLC2A5,206
207,GPR157,207
208,MIR34AHG,208
209,LINC01759,209
210,H6PD,210
211,SPSB1,211
212,BX323043.1,212
213,AL928921.2,213
214,AL928921.1,214
215,SLC25A33,215
216,TMEM201,216
217,PIK3CD,217
218,PIK3CD-AS1,218
219,PIK3CD-AS2,219
220,CLSTN1,220
221,CTNNBIP1,221
222,AL357140.1,222
223,LZIC,223
224,NMNAT1,224
225,RBP7,225
226,UBE4B,226
227,KIF1B,227
228,AL139424.3,228
229,AL139424.2,229
230,PGD,230
231,AL139424.1,231
232,CENPS-CORT,232
233,CENPS,233
234,CORT,234
235,DFFA,235
236,AL354956.1,236
237,PEX14,237
238,CASZ1,238
239,AL139423.1,239
240,C1orf127,240
241,TARDBP,241
242,AL109811.4,242
243,MASP2,243
244,AL109811.3,244
245,SRM,245
246,EXOSC10,246
247,AL109811.1,247
248,AL109811.2,248
249,MTOR,249
250,MTOR-AS1,250
251,ANGPTL7,251
252,UBIAD1,252
253,AL031291.1,253
254,DISP3,254
255,LINC01647,255
256,AL031731.1,256
257,FBXO2,257
258,FBXO44,258
259,FBXO6,259
260,MAD2L2,260
261,DRAXIN,261
262,AGTRAP,262
263,C1orf167,263
264,AL953897.1,264
265,MTHFR,265
266,CLCN6,266
