input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
18S rRNA,,unmatched,,,False
28S rRNA,,unmatched,,,False
5.8S rRNA,,unmatched,,,False
5S rRNA,,unmatched,,,False
A4GALT,A4GALT,exact,32825.0,8472.0,True
AAAS,AAAS,exact,20841.0,8061.0,True
AACS,AACS,exact,21751.0,11408.0,True
AADAC,AADAC,exact,6707.0,10.0,False
AADAT,AADAT,exact,8352.0,1894.0,True
AANAT,AANAT,exact,28264.0,116.0,True
AASDHPPT,AASDHPPT,exact,18490.0,20234.0,True
AASS,AASS,exact,12841.0,6254.0,True
ABCA1,ABCA1,exact,16432.0,16377.0,True
ABCB11,ABCB11,exact,4690.0,2.0,False
ABCB4,ABCB4,exact,12501.0,1029.0,True
ABCB7,ABCB7,exact,13870.0,10563.0,True
ABCC1,ABCC1,exact,25462.0,4790.0,True
ABCC2,ABCC2,exact,19750.0,140.0,True
ABCC3,ABCC3,exact,27889.0,1112.0,True
ABCC5,ABCC5,exact,6940.0,8138.0,True
ABCC8,ABCC8,exact,17339.0,59.0,True
ABCD1,ABCD1,exact,14334.0,4477.0,True
ABCD3,ABCD3,exact,1394.0,16753.0,True
ABCD4,ABCD4,exact,23322.0,13784.0,True
ABCG2,ABCG2,exact,7828.0,4026.0,True
ABHD10,ABHD10,exact,6296.0,9007.0,True
ABHD14B,ABHD14B,exact,5972.0,17660.0,True
ABHD3,ABHD3,exact,28673.0,6151.0,True
ABHD4,ABHD4,exact,22764.0,4230.0,True
ABHD5,ABHD5,exact,5773.0,21976.0,True
ABO,ABO,exact,16796.0,3773.0,True
ACAA1,ACAA1,exact,5701.0,22603.0,True
ACAA2,ACAA2,exact,28876.0,9203.0,True
ACACA,ACACA,exact,27409.0,9178.0,True
ACACB,ACACB,exact,21472.0,4834.0,True
ACAD10,ACAD10,exact,21515.0,4306.0,True
ACAD11,ACAD11,exact,6525.0,824.0,True
ACAD8,ACAD8,exact,18864.0,8651.0,True
ACAD9,ACAD9,exact,6484.0,9926.0,True
ACADL,ACADL,exact,5048.0,2337.0,True
ACADM,ACADM,exact,1245.0,17709.0,True
ACADS,ACADS,exact,21657.0,7185.0,True
ACADSB,ACADSB,exact,19986.0,6058.0,True
ACADVL,ACADVL,exact,26793.0,29462.0,True
