field,cluster,value,cells,within_cluster_fraction
patient,0,1,45,0.8181818181818182
patient,0,2,0,0.0
patient,0,3,0,0.0
patient,0,4,5,0.09090909090909091
patient,0,5,5,0.09090909090909091
patient,0,6,0,0.0
patient,1,1,1,0.0022172949002217295
patient,1,2,8,0.017738359201773836
patient,1,3,1,0.0022172949002217295
patient,1,4,264,0.5853658536585366
patient,1,5,170,0.376940133037694
patient,1,6,7,0.015521064301552107
patient,2,1,0,0.0
patient,2,2,18,0.026706231454005934
patient,2,3,4,0.005934718100890208
patient,2,4,179,0.2655786350148368
patient,2,5,118,0.17507418397626112
patient,2,6,355,0.526706231454006
patient,3,1,0,0.0
patient,3,2,2,0.009433962264150943
patient,3,3,1,0.0047169811320754715
patient,3,4,2,0.009433962264150943
patient,3,5,6,0.02830188679245283
patient,3,6,201,0.9481132075471698
patient,4,1,0,0.0
patient,4,2,5,0.0024975024975024975
patient,4,3,2,0.000999000999000999
patient,4,4,3,0.0014985014985014985
patient,4,5,8,0.003996003996003996
patient,4,6,1984,0.991008991008991
patient,5,1,0,0.0
patient,5,2,1,0.004347826086956522
patient,5,3,0,0.0
patient,5,4,0,0.0
patient,5,5,0,0.0
patient,5,6,229,0.9956521739130435
sample,0,MSC1,45,0.8181818181818182
sample,0,MSC2,0,0.0
sample,0,MSC3,0,0.0
sample,0,MSC4,4,0.07272727272727272
sample,0,MSC4-Dura,1,0.01818181818181818
sample,0,MSC5,3,0.05454545454545454
sample,0,MSC5-BTI,2,0.03636363636363636
sample,0,MSC5-Dura,0,0.0
sample,0,MSC6,0,0.0
sample,0,MSC6-BTI,0,0.0
sample,1,MSC1,1,0.0022172949002217295
sample,1,MSC2,8,0.017738359201773836
sample,1,MSC3,1,0.0022172949002217295
sample,1,MSC4,5,0.011086474501108648
sample,1,MSC4-Dura,259,0.5742793791574279
sample,1,MSC5,6,0.013303769401330377
sample,1,MSC5-BTI,8,0.017738359201773836
sample,1,MSC5-Dura,156,0.3458980044345898
sample,1,MSC6,6,0.013303769401330377
sample,1,MSC6-BTI,1,0.0022172949002217295
sample,2,MSC1,0,0.0
sample,2,MSC2,18,0.026706231454005934
sample,2,MSC3,4,0.005934718100890208
sample,2,MSC4,174,0.258160237388724
sample,2,MSC4-Dura,5,0.00741839762611276
sample,2,MSC5,69,0.10237388724035608
sample,2,MSC5-BTI,46,0.06824925816023739
sample,2,MSC5-Dura,3,0.004451038575667656
sample,2,MSC6,252,0.37388724035608306
sample,2,MSC6-BTI,103,0.15281899109792285
sample,3,MSC1,0,0.0
sample,3,MSC2,2,0.009433962264150943
sample,3,MSC3,1,0.0047169811320754715
sample,3,MSC4,2,0.009433962264150943
sample,3,MSC4-Dura,0,0.0
sample,3,MSC5,3,0.014150943396226415
sample,3,MSC5-BTI,2,0.009433962264150943
sample,3,MSC5-Dura,1,0.0047169811320754715
sample,3,MSC6,197,0.9292452830188679
sample,3,MSC6-BTI,4,0.018867924528301886
sample,4,MSC1,0,0.0
sample,4,MSC2,5,0.0024975024975024975
sample,4,MSC3,2,0.000999000999000999
sample,4,MSC4,3,0.0014985014985014985
sample,4,MSC4-Dura,0,0.0
sample,4,MSC5,2,0.000999000999000999
sample,4,MSC5-BTI,6,0.002997002997002997
sample,4,MSC5-Dura,0,0.0
sample,4,MSC6,1890,0.9440559440559441
sample,4,MSC6-BTI,94,0.04695304695304695
sample,5,MSC1,0,0.0
sample,5,MSC2,1,0.004347826086956522
sample,5,MSC3,0,0.0
sample,5,MSC4,0,0.0
sample,5,MSC4-Dura,0,0.0
sample,5,MSC5,0,0.0
sample,5,MSC5-BTI,0,0.0
sample,5,MSC5-Dura,0,0.0
sample,5,MSC6,201,0.8739130434782608
sample,5,MSC6-BTI,28,0.12173913043478261
source,0,Dura,1,0.01818181818181818
source,0,Meningioma,52,0.9454545454545454
source,0,Meningioma brain-tumor interface,2,0.03636363636363636
source,1,Dura,415,0.9201773835920177
source,1,Meningioma,27,0.0598669623059867
source,1,Meningioma brain-tumor interface,9,0.019955654101995565
source,2,Dura,8,0.011869436201780416
source,2,Meningioma,517,0.7670623145400594
source,2,Meningioma brain-tumor interface,149,0.22106824925816024
source,3,Dura,1,0.0047169811320754715
source,3,Meningioma,205,0.9669811320754716
source,3,Meningioma brain-tumor interface,6,0.02830188679245283
source,4,Dura,0,0.0
source,4,Meningioma,1902,0.9500499500499501
source,4,Meningioma brain-tumor interface,100,0.04995004995004995
source,5,Dura,0,0.0
source,5,Meningioma,202,0.8782608695652174
source,5,Meningioma brain-tumor interface,28,0.12173913043478261
cell_type,0,T_cell,55,1.0
cell_type,1,T_cell,451,1.0
cell_type,2,T_cell,674,1.0
cell_type,3,T_cell,212,1.0
cell_type,4,T_cell,2002,1.0
cell_type,5,T_cell,230,1.0
cell_subtype,0,CD8 T cells,55,1.0
cell_subtype,1,CD8 T cells,451,1.0
cell_subtype,2,CD8 T cells,674,1.0
cell_subtype,3,CD8 T cells,212,1.0
cell_subtype,4,CD8 T cells,2002,1.0
cell_subtype,5,CD8 T cells,230,1.0
cell_cycle_phase,0,G1/S,2,0.03636363636363636
cell_cycle_phase,0,G2/M,3,0.05454545454545454
cell_cycle_phase,0,Intermediate,0,0.0
cell_cycle_phase,0,Not cycling,50,0.9090909090909091
cell_cycle_phase,0,missing,0,0.0
cell_cycle_phase,1,G1/S,0,0.0
cell_cycle_phase,1,G2/M,1,0.0022172949002217295
cell_cycle_phase,1,Intermediate,0,0.0
cell_cycle_phase,1,Not cycling,434,0.9623059866962306
cell_cycle_phase,1,missing,16,0.03547671840354767
cell_cycle_phase,2,G1/S,0,0.0
cell_cycle_phase,2,G2/M,1,0.001483679525222552
cell_cycle_phase,2,Intermediate,0,0.0
cell_cycle_phase,2,Not cycling,129,0.1913946587537092
cell_cycle_phase,2,missing,544,0.8071216617210683
cell_cycle_phase,3,G1/S,86,0.4056603773584906
cell_cycle_phase,3,G2/M,49,0.23113207547169812
cell_cycle_phase,3,Intermediate,34,0.16037735849056603
cell_cycle_phase,3,Not cycling,37,0.17452830188679244
cell_cycle_phase,3,missing,6,0.02830188679245283
cell_cycle_phase,4,G1/S,5,0.0024975024975024975
cell_cycle_phase,4,G2/M,40,0.01998001998001998
cell_cycle_phase,4,Intermediate,2,0.000999000999000999
cell_cycle_phase,4,Not cycling,1571,0.7847152847152847
cell_cycle_phase,4,missing,384,0.1918081918081918
cell_cycle_phase,5,G1/S,21,0.09130434782608696
cell_cycle_phase,5,G2/M,24,0.10434782608695652
cell_cycle_phase,5,Intermediate,5,0.021739130434782608
cell_cycle_phase,5,Not cycling,166,0.7217391304347827
cell_cycle_phase,5,missing,14,0.06086956521739131
