resolution,seed,n_clusters,silhouette,calinski_harabasz,davies_bouldin,metric_cells
0.4,0,14,0.22150081396102905,7276.068113304562,1.507786994120156,3000
0.4,17,14,0.22122937440872192,7233.558468259771,1.5148732350475602,3000
0.4,42,13,0.21561914682388306,7229.927675681569,1.4728523105024651,3000
0.4,73,14,0.22156457602977753,7269.0071024619865,1.5149592988842424,3000
0.4,101,13,0.2187698632478714,7341.20486183128,1.4772666514291888,3000
0.8,0,17,0.21661581099033356,6730.739060896593,1.577973214248373,3000
0.8,17,16,0.22155894339084625,6934.393688218052,1.5744868298710786,3000
0.8,42,18,0.20069989562034607,6414.784139579802,1.5709744960890049,3000
0.8,73,16,0.22202950716018677,6883.004875327928,1.5762424948468547,3000
0.8,101,16,0.2246858775615692,7018.525224871999,1.5400891451583356,3000
1.2,0,24,0.17225824296474457,4981.773895626283,1.683945212787993,3000
1.2,17,23,0.16660147905349731,5110.941435966822,1.7055498621228256,3000
1.2,42,24,0.16753053665161133,4955.553672243146,1.7306233742638384,3000
1.2,73,23,0.17068538069725037,5171.0286871386,1.6933083119766175,3000
1.2,101,26,0.1620219498872757,4616.96394240124,1.6890434786490733,3000
