field,cluster,value,cells,within_cluster_fraction
patient,0,1,520,0.4878048780487805
patient,0,2,33,0.03095684803001876
patient,0,3,136,0.1275797373358349
patient,0,4,357,0.3348968105065666
patient,0,5,19,0.017823639774859287
patient,0,6,1,0.0009380863039399625
patient,1,1,5,0.0016672224074691564
patient,1,2,40,0.013337779259753251
patient,1,3,2932,0.9776592197399133
patient,1,4,8,0.00266755585195065
patient,1,5,13,0.004334778259419807
patient,1,6,1,0.00033344448149383126
patient,10,1,0,0.0
patient,10,2,0,0.0
patient,10,3,3,0.00044809559372666166
patient,10,4,0,0.0
patient,10,5,6692,0.9995519044062733
patient,10,6,0,0.0
patient,11,1,2,0.0006770480704129993
patient,11,2,2,0.0006770480704129993
patient,11,3,3,0.001015572105619499
patient,11,4,2101,0.7112389979688558
patient,11,5,350,0.11848341232227488
patient,11,6,496,0.16790792146242384
patient,12,1,5,0.0011064394777605664
patient,12,2,43,0.009515379508740872
patient,12,3,17,0.003761894224385926
patient,12,4,692,0.1531312237220624
patient,12,5,401,0.08873644611639743
patient,12,6,3361,0.7437486169506528
patient,13,1,3,0.004201680672268907
patient,13,2,6,0.008403361344537815
patient,13,3,15,0.02100840336134454
patient,13,4,55,0.07703081232492998
patient,13,5,35,0.049019607843137254
patient,13,6,600,0.8403361344537815
patient,14,1,0,0.0
patient,14,2,0,0.0
patient,14,3,3,0.00034067681126504656
patient,14,4,0,0.0
patient,14,5,8801,0.9994322053145582
patient,14,6,2,0.0002271178741766977
patient,15,1,0,0.0
patient,15,2,0,0.0
patient,15,3,0,0.0
patient,15,4,0,0.0
patient,15,5,0,0.0
patient,15,6,2144,1.0
patient,16,1,0,0.0
patient,16,2,0,0.0
patient,16,3,0,0.0
patient,16,4,0,0.0
patient,16,5,0,0.0
patient,16,6,6758,1.0
patient,2,1,1759,0.9926636568848759
patient,2,2,0,0.0
patient,2,3,0,0.0
patient,2,4,11,0.006207674943566591
patient,2,5,2,0.001128668171557562
patient,2,6,0,0.0
patient,3,1,168,0.04296675191815857
patient,3,2,754,0.19283887468030692
patient,3,3,127,0.03248081841432225
patient,3,4,722,0.1846547314578005
patient,3,5,1821,0.4657289002557545
patient,3,6,318,0.08132992327365729
patient,4,1,54,0.04691572545612511
patient,4,2,14,0.01216333622936577
patient,4,3,26,0.022589052997393572
patient,4,4,325,0.28236316246741966
patient,4,5,463,0.40225890529973934
patient,4,6,269,0.23370981754995657
patient,5,1,1,0.00041152263374485596
patient,5,2,1,0.00041152263374485596
patient,5,3,1,0.00041152263374485596
patient,5,4,1662,0.6839506172839506
patient,5,5,561,0.2308641975308642
patient,5,6,204,0.08395061728395062
patient,6,1,13,0.0042706964520367935
patient,6,2,14,0.0045992115637319315
patient,6,3,4,0.001314060446780552
patient,6,4,2973,0.9766754270696452
patient,6,5,37,0.012155059132720105
patient,6,6,3,0.0009855453350854138
patient,7,1,5,0.001839587932303164
patient,7,2,4,0.0014716703458425313
patient,7,3,13,0.004782928623988227
patient,7,4,90,0.033112582781456956
patient,7,5,49,0.018027961736571008
patient,7,6,2557,0.9407652685798381
patient,8,1,3,0.0005595970900951316
patient,8,2,3,0.0005595970900951316
patient,8,3,7,0.0013057265435553068
patient,8,4,17,0.003171050177205745
patient,8,5,114,0.021264689423614997
patient,8,6,5217,0.9731393396754336
patient,9,1,0,0.0
patient,9,2,0,0.0
patient,9,3,0,0.0
patient,9,4,2,0.0011098779134295228
patient,9,5,186,0.10321864594894561
patient,9,6,1614,0.8956714761376249
sample,0,MSC1,520,0.4878048780487805
sample,0,MSC2,33,0.03095684803001876
sample,0,MSC3,136,0.1275797373358349
sample,0,MSC4,343,0.32176360225140715
sample,0,MSC4-Dura,14,0.013133208255159476
sample,0,MSC5,14,0.013133208255159476
sample,0,MSC5-BTI,5,0.004690431519699813
sample,0,MSC5-Dura,0,0.0
sample,0,MSC6,0,0.0
sample,0,MSC6-BTI,1,0.0009380863039399625
sample,1,MSC1,5,0.0016672224074691564
sample,1,MSC2,40,0.013337779259753251
sample,1,MSC3,2932,0.9776592197399133
sample,1,MSC4,8,0.00266755585195065
sample,1,MSC4-Dura,0,0.0
sample,1,MSC5,8,0.00266755585195065
sample,1,MSC5-BTI,5,0.0016672224074691564
sample,1,MSC5-Dura,0,0.0
sample,1,MSC6,1,0.00033344448149383126
sample,1,MSC6-BTI,0,0.0
sample,10,MSC1,0,0.0
sample,10,MSC2,0,0.0
sample,10,MSC3,3,0.00044809559372666166
sample,10,MSC4,0,0.0
sample,10,MSC4-Dura,0,0.0
sample,10,MSC5,132,0.019716206123973113
sample,10,MSC5-BTI,6560,0.9798356982823002
sample,10,MSC5-Dura,0,0.0
sample,10,MSC6,0,0.0
sample,10,MSC6-BTI,0,0.0
sample,11,MSC1,2,0.0006770480704129993
sample,11,MSC2,2,0.0006770480704129993
sample,11,MSC3,3,0.001015572105619499
sample,11,MSC4,2031,0.6875423155044008
sample,11,MSC4-Dura,70,0.023696682464454975
sample,11,MSC5,146,0.04942450914014895
sample,11,MSC5-BTI,170,0.05754908598510494
sample,11,MSC5-Dura,34,0.011509817197020988
sample,11,MSC6,245,0.08293838862559241
sample,11,MSC6-BTI,251,0.08496953283683141
sample,12,MSC1,5,0.0011064394777605664
sample,12,MSC2,43,0.009515379508740872
sample,12,MSC3,17,0.003761894224385926
sample,12,MSC4,278,0.0615180349634875
sample,12,MSC4-Dura,414,0.09161318875857491
sample,12,MSC5,106,0.02345651692852401
