replicate_field,replicate,field,cells,levels,clusters,nmi_with_cluster,ari_with_cluster
patient,1,cell_type,2538,6,12,0.3785471966859033,0.24097595547355685
patient,1,cell_subtype,2538,15,12,0.6335862662992183,0.6525655548562174
patient,2,cell_type,914,6,11,0.7449383866099857,0.9001231689940835
patient,2,cell_subtype,914,11,11,0.6794154078224859,0.8138418263375283
patient,3,cell_type,3287,6,13,0.4063848406334793,0.49943315871242966
patient,3,cell_subtype,3287,15,13,0.22403987689707874,0.04784344365573655
patient,4,cell_type,9015,6,13,0.6860909091321713,0.6830878927834991
patient,4,cell_subtype,9015,15,13,0.6681126230237497,0.5886186054889693
patient,5,cell_type,19544,6,15,0.565063717484123,0.3758362275365992
patient,5,cell_subtype,19544,15,15,0.6383472352846585,0.6215689321253619
patient,6,cell_type,23545,6,15,0.6185374449497323,0.424808259237707
patient,6,cell_subtype,23545,14,15,0.6266125975991067,0.5168068458570596
