input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
SLC10A4,SLC10A4,exact,7536.0,947.0,True
SLC6A3,SLC6A3,exact,8534.0,172.0,True
SLC6A1,SLC6A1,exact,5530.0,1789.0,True
SLC6A12,SLC6A12,exact,20109.0,643.0,True
SLC25A33,SLC25A33,exact,215.0,11116.0,True
SLC6A11,SLC6A11,exact,5529.0,449.0,True
SLC25A18,SLC25A18,exact,32169.0,240.0,True
SLC6A5,SLC6A5,exact,17387.0,0.0,False
SLC22A15,SLC22A15,exact,1630.0,1870.0,True
SLC44A1,SLC44A1,exact,16435.0,26829.0,True
SLC5A11,SLC5A11,exact,25593.0,606.0,True
SLC7A11,SLC7A11,exact,8125.0,1544.0,True
SLC1A2,SLC1A2,exact,17496.0,184.0,True
SLC39A10,SLC39A10,exact,4907.0,18675.0,True
SLC9A7,SLC9A7,exact,13604.0,4691.0,True
SLC2A13,SLC2A13,exact,20592.0,5197.0,True
SLC38A11,SLC38A11,exact,4667.0,1025.0,True
SLC35D3,SLC35D3,exact,11482.0,47.0,True
SLC18A1,SLC18A1,exact,14614.0,7.0,False
SLC1A7,SLC1A7,exact,1042.0,28.0,True
SLC16A8,SLC16A8,exact,32700.0,452.0,True
SLC4A5,SLC4A5,exact,3900.0,530.0,True
SLC16A14,SLC16A14,exact,5250.0,3101.0,True
SLC6A20,SLC6A20,exact,5807.0,8671.0,True
SLC23A2,SLC23A2,exact,29243.0,14836.0,True
SLCO1C1,SLCO1C1,exact,20442.0,539.0,True
SLC2A12,SLC2A12,exact,11452.0,3237.0,True
SLC39A12,SLC39A12,exact,19058.0,104.0,True
SLC17A5,SLC17A5,exact,11085.0,6209.0,True
SLC26A4,SLC26A4,exact,12763.0,269.0,True
SLC26A7,SLC26A7,exact,15227.0,4620.0,True
SLC30A4,SLC30A4,exact,24284.0,3672.0,True
SLC5A8,SLC5A8,exact,21374.0,28.0,True
SLC4A7,SLC4A7,exact,5635.0,11735.0,True
SLC24A1,SLC24A1,exact,24522.0,3464.0,True
SLC6A6,SLC6A6,exact,5565.0,10000.0,True
SLC16A6,SLC16A6,exact,28118.0,2960.0,True
SLC25A27,SLC25A27,exact,10942.0,2521.0,True
SLC35F4,SLC35F4,exact,23124.0,5.0,False
SLC17A8,SLC17A8,exact,21368.0,3.0,False
SLC4A10,SLC4A10,exact,4651.0,1272.0,True
SLC2A11,SLC2A11,exact,32407.0,4896.0,True
SLC38A3,SLC38A3,exact,5928.0,510.0,True
SLC24A4,SLC24A4,exact,23507.0,566.0,True
SLC18A3,SLC18A3,exact,19296.0,9.0,False
SLC1A4,SLC1A4,exact,3779.0,7886.0,True
SLC24A3,SLC24A3,exact,29362.0,3056.0,True
SLC35F3,SLC35F3,exact,2968.0,999.0,True
SLC1A6,SLC1A6,exact,30629.0,77.0,True
SLC30A3,SLC30A3,exact,3455.0,1206.0,True
SLC17A7,SLC17A7,exact,31595.0,191.0,True
SLC6A7,SLC6A7,exact,9803.0,62.0,True
SLC45A1,SLC45A1,exact,198.0,1287.0,True
SLC4A3,SLC4A3,exact,5183.0,2809.0,True
SLC25A22,SLC25A22,exact,17007.0,5061.0,True
SLC2A6,SLC2A6,exact,16807.0,5985.0,True
SLC32A1,SLC32A1,exact,29635.0,11.0,False
SLC12A5,SLC12A5,exact,29745.0,5977.0,True
SLC6A17,SLC6A17,exact,1535.0,157.0,True
SLC8A2,SLC8A2,exact,31493.0,92.0,True
SLC7A3,SLC7A3,exact,13818.0,166.0,True
SLC38A8,SLC38A8,exact,26410.0,253.0,True
SLC8A3,SLC8A3,exact,23257.0,158.0,True
SLC17A6,SLC17A6,exact,17395.0,1.0,False
SLC44A5,SLC44A5,exact,1243.0,1127.0,True
SLC36A4,SLC36A4,exact,18395.0,9837.0,True
SLC4A1AP,SLC4A1AP,exact,3477.0,14029.0,True
SLC25A14,SLC25A14,exact,14146.0,5309.0,True
SLC1A3,SLC1A3,exact,8784.0,18638.0,True
SLC35F1,SLC35F1,exact,11360.0,277.0,True
SLC26A5,SLC26A5,exact,12728.0,29.0,True
SLC9B2,SLC9B2,exact,7918.0,21224.0,True
SLC9A6,SLC9A6,exact,14205.0,6750.0,True
SLC7A14,SLC7A14,exact,6844.0,4005.0,True
SLC4A8,SLC4A8,exact,20769.0,1241.0,True
SLC25A53,SLC25A53,exact,13996.0,3544.0,True
SLC7A6OS,SLC7A6OS,exact,26184.0,10839.0,True
SLC15A4,SLC15A4,exact,21782.0,11496.0,True
SLC7A6,SLC7A6,exact,26183.0,8854.0,True
SLC12A6,SLC12A6,exact,24075.0,6464.0,True
SLC38A1,SLC38A1,exact,20631.0,28843.0,True
SLC9A9,SLC9A9,exact,6631.0,4872.0,True
SLC40A1,SLC40A1,exact,4866.0,11548.0,True
SLC25A17,SLC25A17,exact,32770.0,6891.0,True
SLC14A1,SLC14A1,exact,28831.0,457.0,True
SLC45A4,SLC45A4,exact,15589.0,3343.0,True
SLC4A11,SLC4A11,exact,29213.0,602.0,True
SLC22A23,SLC22A23,exact,10209.0,6520.0,True
SLC31A2,SLC31A2,exact,16498.0,10152.0,True
SLC38A6,SLC38A6,exact,23161.0,9024.0,True
SLC9A8,SLC9A8,exact,29790.0,3708.0,True
SLC36A1,SLC36A1,exact,9828.0,2303.0,True
SLC35E1,SLC35E1,exact,30681.0,18658.0,True
SLC22A5,SLC22A5,exact,9472.0,10686.0,True
SLC26A6,SLC26A6,exact,5867.0,7388.0,True
SLC26A1,SLC26A1,exact,7176.0,322.0,True
SLC25A29,SLC25A29,exact,23615.0,16729.0,True
SLC45A2,SLC45A2,exact,8757.0,52.0,True
SLC22A4,SLC22A4,exact,9471.0,2707.0,True
SLC25A38,SLC25A38,exact,5723.0,10900.0,True
SLC11A1,SLC11A1,exact,5120.0,7046.0,True
SLC43A1,SLC43A1,exact,17700.0,2199.0,True
SLC43A3,SLC43A3,exact,17697.0,6114.0,True
SLC17A9,SLC17A9,exact,29967.0,1728.0,True
SLC16A11,SLC16A11,exact,26788.0,1205.0,True
SLC13A4,SLC13A4,exact,12983.0,3506.0,True
SLC5A5,SLC5A5,exact,30743.0,14.0,False
SLC25A35,SLC25A35,exact,26876.0,2740.0,True
SLC5A6,SLC5A6,exact,3452.0,13032.0,True
SLC35F6,SLC35F6,exact,3434.0,12383.0,True
SLC29A2,SLC29A2,exact,18043.0,115.0,True
