input_symbol,expression_symbol,match_mode,expression_row_1based,prevalence_cells,included_after_prevalence
SLC10A4,SLC10A4,exact,7536.0,6.0,False
SLC6A3,SLC6A3,exact,8534.0,11.0,False
SLC6A1,SLC6A1,exact,5530.0,34.0,True
SLC6A12,SLC6A12,exact,20109.0,18.0,False
SLC25A33,SLC25A33,exact,215.0,228.0,True
SLC6A11,SLC6A11,exact,5529.0,5.0,False
SLC25A18,SLC25A18,exact,32169.0,5.0,False
SLC6A5,SLC6A5,exact,17387.0,0.0,False
SLC22A15,SLC22A15,exact,1630.0,17.0,False
SLC44A1,SLC44A1,exact,16435.0,191.0,True
SLC5A11,SLC5A11,exact,25593.0,1.0,False
SLC7A11,SLC7A11,exact,8125.0,15.0,False
SLC1A2,SLC1A2,exact,17496.0,3.0,False
SLC39A10,SLC39A10,exact,4907.0,284.0,True
SLC9A7,SLC9A7,exact,13604.0,55.0,True
SLC2A13,SLC2A13,exact,20592.0,95.0,True
SLC38A11,SLC38A11,exact,4667.0,6.0,False
SLC35D3,SLC35D3,exact,11482.0,0.0,False
SLC18A1,SLC18A1,exact,14614.0,0.0,False
SLC1A7,SLC1A7,exact,1042.0,4.0,False
SLC16A8,SLC16A8,exact,32700.0,8.0,False
SLC4A5,SLC4A5,exact,3900.0,17.0,False
SLC16A14,SLC16A14,exact,5250.0,23.0,True
SLC6A20,SLC6A20,exact,5807.0,55.0,True
SLC23A2,SLC23A2,exact,29243.0,114.0,True
SLCO1C1,SLCO1C1,exact,20442.0,0.0,False
SLC2A12,SLC2A12,exact,11452.0,28.0,True
SLC39A12,SLC39A12,exact,19058.0,1.0,False
SLC17A5,SLC17A5,exact,11085.0,119.0,True
SLC26A4,SLC26A4,exact,12763.0,2.0,False
SLC26A7,SLC26A7,exact,15227.0,20.0,True
SLC30A4,SLC30A4,exact,24284.0,42.0,True
SLC5A8,SLC5A8,exact,21374.0,0.0,False
SLC4A7,SLC4A7,exact,5635.0,466.0,True
SLC24A1,SLC24A1,exact,24522.0,33.0,True
SLC6A6,SLC6A6,exact,5565.0,277.0,True
SLC16A6,SLC16A6,exact,28118.0,92.0,True
SLC25A27,SLC25A27,exact,10942.0,29.0,True
SLC35F4,SLC35F4,exact,23124.0,0.0,False
SLC17A8,SLC17A8,exact,21368.0,0.0,False
