k,silhouette,calinski_harabasz,davies_bouldin,min_cluster_cells,min_cluster_fraction
2,0.19452553987503052,1113.0921757015146,2.0222495325694196,26234,0.44583043012762774
3,0.19755063951015472,656.4172908866497,1.5472763247631978,1294,0.02199072107132539
4,0.19439545273780823,958.9451957322067,1.9337049903478631,8173,0.1388950257464779
5,0.277739942073822,1069.1977633828708,1.4110918664218333,1289,0.021905749197015788
6,0.21348021924495697,852.4771913843063,1.936845178583854,5519,0.09379195486294037
7,0.18458399176597595,883.1060749957481,1.7908129561104733,1300,0.022092687320496917
8,0.22753405570983887,802.7204442098044,1.7519325468343077,1283,0.021803782947844262
9,0.19687402248382568,791.9807857787117,1.6734996856318602,1294,0.02199072107132539
10,0.2150275856256485,791.1344255113378,1.6171717231404685,1316,0.022364597318287646
11,0.20520779490470886,720.0421558661671,1.6047338795075645,1290,0.02192274357187771
12,0.23363293707370758,743.1484016402308,1.5393951756155972,1308,0.02222864231939228
