cluster,gene,mean_log1p_in,mean_log1p_out,mean_log1p_difference
0,PTGDS,3.148627996444702,0.7799563407897949,2.3686716556549072
0,SLC26A2,1.8851619958877563,1.0771256685256958,0.8080363273620605
0,SLC12A2,0.9177901744842529,0.25285226106643677,0.6649379134178162
0,SLC47A1,1.0390636920928955,0.47236368060112,0.5666999816894531
0,MT-ND4L,1.6436753273010254,1.1145755052566528,0.5290998220443726
0,SLC7A2,0.7827394008636475,0.2680787146091461,0.5146607160568237
0,SLC44A1,0.8378546833992004,0.3455073833465576,0.4923473000526428
0,GLUL,1.4954804182052612,1.0082404613494873,0.4872399568557739
0,SLC38A2,1.4639101028442383,0.9798704981803894,0.4840396046638489
0,LYPLAL1,0.7469022870063782,0.26441505551338196,0.4824872314929962
0,EPHX1,0.9420654773712158,0.48129546642303467,0.46077001094818115
0,PLA2G16,0.8826050162315369,0.42532840371131897,0.4572766125202179
1,FKBP5,0.9992093443870544,0.728395938873291,0.2708134055137634
1,MT-ND3,4.472288131713867,4.206637382507324,0.26565074920654297
1,ENTPD1,0.2555776536464691,0.1018490344285965,0.15372861921787262
1,PDE4B,0.2625444829463959,0.1152263730764389,0.14731810986995697
1,DGKH,0.2459726482629776,0.10636218637228012,0.13961046934127808
1,PDE3B,0.1656733602285385,0.04697921872138977,0.11869414150714874
1,PDK4,0.3320408761501312,0.2161683887243271,0.11587248742580414
1,SLCO2A1,0.16366301476955414,0.04977157339453697,0.11389143764972687
1,OXNAD1,0.15192803740501404,0.04469876363873482,0.10722927749156952
1,CDA,0.12310165911912918,0.01980104111135006,0.10330061614513397
1,TYMP,0.3966633677482605,0.30173948407173157,0.09492388367652893
1,CASP8,0.1725333333015442,0.07952472567558289,0.0930086076259613
2,SMS,1.5666524171829224,0.3924259543418884,1.1742265224456787
2,PKM,2.233614444732666,1.087068796157837,1.146545648574829
2,GAPDH,3.7115273475646973,2.704845428466797,1.0066819190979004
2,LDHB,2.42256236076355,1.4251048564910889,0.9974575042724609
2,TPI1,2.334143877029419,1.3547699451446533,0.9793739318847656
2,TXNRD2,1.080960750579834,0.14804910123348236,0.9329116344451904
2,BCAT1,1.1436991691589355,0.2311963587999344,0.9125028252601624
2,COX7A2,2.026291847229004,1.1196049451828003,0.9066869020462036
2,GSTP1,2.720566987991333,1.868026614189148,0.8525403738021851
2,ENO1,2.153602123260498,1.3115531206130981,0.8420490026473999
2,NME1,1.3470194339752197,0.5224517583847046,0.8245676755905151
2,NDUFS6,1.622596025466919,0.8112026453018188,0.8113933801651001
3,GAPDH,4.049994945526123,2.686645030975342,1.3633499145507812
3,SMS,1.3908040523529053,0.4427092969417572,0.9480947256088257
3,ENO1,2.238304615020752,1.3211970329284668,0.9171075820922852
3,PKM,2.040726661682129,1.1388187408447266,0.9019079208374023
3,TPI1,2.276240110397339,1.3855887651443481,0.8906513452529907
3,LDHA,2.297619342803955,1.409781575202942,0.8878377676010132
3,PGK1,1.9162706136703491,1.0625568628311157,0.8537137508392334
3,LDHB,2.134720802307129,1.4851676225662231,0.6495531797409058
3,COX7A2,1.757430076599121,1.1751023530960083,0.5823277235031128
3,GSTP1,2.4568095207214355,1.921568751335144,0.5352407693862915
3,PTGES3,1.6164735555648804,1.1015864610671997,0.5148870944976807
3,TXNRD2,0.6898475885391235,0.21949957311153412,0.4703480005264282
4,SLC26A2,2.323369264602661,0.6925483345985413,1.6308209896087646
4,ALDH2,1.9688555002212524,0.5033704042434692,1.4654850959777832
4,ENPP6,1.6498342752456665,0.23939241468906403,1.4104418754577637
4,ATP1B1,1.7928926944732666,0.4323824346065521,1.360510230064392
4,SLC4A4,1.264487385749817,0.22703875601291656,1.0374486446380615
4,PRDX2,1.8291220664978027,0.854773223400116,0.9743488430976868
4,GMDS,1.2273108959197998,0.2869277596473694,0.9403831362724304
4,MT-CO1,5.465394973754883,4.5994391441345215,0.8659558296203613
4,PRDX5,1.6636228561401367,0.8064824342727661,0.8571404218673706
4,SLC47A1,1.12136709690094,0.2997380197048187,0.8216290473937988
4,DHRS3,1.0718754529953003,0.26644837856292725,0.805427074432373
4,ALDH7A1,1.026590347290039,0.28994306921958923,0.7366472482681274
5,TYMP,1.5408071279525757,0.19741499423980713,1.3433921337127686
5,SLCO2B1,1.3761820793151855,0.05993180721998215,1.3162503242492676
5,SLC11A1,1.3607407808303833,0.0468226820230484,1.313918113708496
5,GLUL,2.245603561401367,0.951360285282135,1.294243335723877
5,FTH1,4.439300060272217,3.394864082336426,1.044435977935791
5,ASAH1,1.477917194366455,0.4369118809700012,1.0410053730010986
5,ATP1B3,1.7283633947372437,0.7061715126037598,1.0221918821334839
5,ACSL1,1.1001479625701904,0.08795149624347687,1.01219642162323
5,ATP6V0B,1.4427732229232788,0.6370830535888672,0.8056901693344116
5,SLC1A3,1.0292394161224365,0.22556017339229584,0.8036792278289795
5,PTGS2,0.8576576709747314,0.058212295174598694,0.799445390701294
5,TBXAS1,0.8341456055641174,0.036091484129428864,0.7980540990829468
