cell_name,sample,cell_type,complexity,umap1,umap2,g1s_score,g2m_score,cell_cycle_phase,mp_top_score,mp_top,mp_assignment,Differentiation,Stemness,malignant
MGH36_P6_A12,MGH36,Macrophage,4990,-1.5964,-42.2737,0.305,-7e-04,Not cycling,,"","",,,no
MGH36_P6_H09,MGH36,Macrophage,3031,1.6463,-40.5586,0.1967,-0.0332,Not cycling,,"","",,,no
MGH53_P4_G04,MGH53,Macrophage,3842,3.7234,-40.4063,-0.0428,-0.1427,Not cycling,0.8545,MAC3,"",,,no
MGH36_P10_G12,MGH36,Macrophage,4312,-1.9666,-41.9987,-0.014,-0.1295,Not cycling,,"","",,,no
MGH53_P2_H12,MGH53,Macrophage,5549,-1.5769,-42.1286,-0.0918,-0.1182,Not cycling,3.6289,Monocyte/Secreted,Monocyte/Secreted,,,no
MGH53_P4_D10,MGH53,Macrophage,3274,1.5143,-41.158,0.1264,-0.0024,Not cycling,0.7844,Stress/HSP,"",,,no
MGH53_P4_D01,MGH53,Macrophage,3389,3.8458,-40.0108,-0.0194,-0.1246,Not cycling,0.7264,Lipid-associated,"",,,no
MGH36_P6_B07,MGH36,Macrophage,4062,3.5682,-40.1521,-0.1581,-0.023,Not cycling,,"","",,,no
MGH36_P10_B12,MGH36,Macrophage,5232,1.1019,-41.7356,-0.0375,-0.1906,Not cycling,,"","",,,no
MGH53_P2_G11,MGH53,Macrophage,4476,3.4173,-40.0637,0.0056,-0.0358,Not cycling,0.4957,Proteasomal degradation,"",,,no
MGH53_P1_E04,MGH53,Macrophage,5239,3.5917,-40.0625,-0.1767,0.0659,Not cycling,0.7649,Lipid-associated,"",,,no
MGH54_P2_C12,MGH54,Macrophage,5731,3.4118,-40.8405,-0.0299,-0.2398,Not cycling,,"","",,,no
MGH53_P4_B07,MGH53,Macrophage,4177,3.58,-40.6199,-0.1022,0.0604,Not cycling,1.12,MAC3,MAC3,,,no
MGH53_P4_F09,MGH53,Macrophage,4478,3.6279,-40.2985,-0.1336,0.0253,Not cycling,0.7193,MAC3,"",,,no
MGH36_P2_H11,MGH36,Macrophage,3775,2.2223,-40.4504,-0.096,0.0655,Not cycling,,"","",,,no
MGH36_P5_A11,MGH36,Macrophage,4262,2.3126,-40.5286,0.0512,0.0821,Not cycling,,"","",,,no
MGH53_P1_A09,MGH53,Macrophage,4921,3.5389,-40.4398,0.0245,0.0663,Not cycling,1.0452,MAC3,MAC3,,,no
MGH53_P2_B02,MGH53,Macrophage,4152,3.666,-40.3748,-0.0336,0.1947,Not cycling,1.4561,MAC3,MAC3,,,no
MGH53_P4_E04,MGH53,Macrophage,4287,3.3814,-40.1102,0.1134,0.0254,Not cycling,0.9699,Lipid-associated,"",,,no
MGH53_P4_D08,MGH53,Macrophage,4385,3.4089,-40.5323,0.0212,0.1829,Not cycling,0.5848,Stress/HSP,"",,,no
MGH36_P1_F07,MGH36,Macrophage,7012,-2.0316,-41.7772,-0.0644,0.0484,Not cycling,,"","",,,no
MGH53_P2_E11,MGH53,Macrophage,4360,3.8112,-40.735,0.0329,-0.0671,Not cycling,1.2813,MAC3,MAC3,,,no
MGH36_P1_G06,MGH36,Macrophage,4517,2.9767,-40.0615,-0.1018,-0.0225,Not cycling,,"","",,,no
MGH36_P6_F03,MGH36,Macrophage,3478,2.1127,-41.192,0.153,-0.1422,Not cycling,,"","",,,no
MGH54_P2_H06,MGH54,Macrophage,3647,3.7307,-40.8196,-0.2551,-0.0947,Not cycling,,"","",,,no
MGH36_P8_H12,MGH36,Macrophage,6352,-2.0043,-42.064,0.3091,0.0691,Not cycling,,"","",,,no
MGH53_P1_B06,MGH53,Macrophage,3847,3.6408,-40.2416,-0.0133,-0.0406,Not cycling,1.4568,Lipid-associated,"",,,no
MGH53_P4_F12,MGH53,Macrophage,3803,3.2781,-40.9334,0.1554,-0.1362,Not cycling,1.2048,MAC3,MAC3,,,no
MGH53_P4_G12,MGH53,Macrophage,4467,3.6642,-41.0564,-0.119,-0.1036,Not cycling,1.3183,Stress/HSP,Stress/HSP,,,no
MGH53_P2_E08,MGH53,Macrophage,5377,3.4063,-40.0826,0.6532,-0.0953,Not cycling,0.6985,Cell Cycle,"",,,no
MGH53_P1_F06,MGH53,Macrophage,4877,3.3782,-40.3149,0.0115,-0.0898,Not cycling,0.9418,Lipid-associated,"",,,no
MGH53_P1_D02,MGH53,Macrophage,3581,3.437,-44.2813,0.0389,0.1749,Not cycling,1.7343,Stress/HSP,Stress/HSP,,,no
MGH36_P9_D01,MGH36,Macrophage,4483,2.6289,-40.3269,-0.1379,0.1486,Not cycling,,"","",,,no
MGH36_P6_F02,MGH36,Macrophage,3858,2.2569,-40.7025,-0.0412,0.0624,Not cycling,,"","",,,no
MGH53_P2_E07,MGH53,Macrophage,3399,3.5321,-40.9498,-0.0968,-0.0375,Not cycling,1.5235,MAC3,MAC3,,,no
MGH53_P4_H08,MGH53,Macrophage,5218,3.4796,-39.9873,-0.0092,-0.0199,Not cycling,1.1248,Lipid-associated,"",,,no
MGH36_P6_F11,MGH36,Macrophage,4651,2.3886,-40.3857,0.0297,0.0589,Not cycling,,"","",,,no
MGH36_P8_C08,MGH36,Macrophage,5516,2.7787,-40.2163,-0.0205,-0.1132,Not cycling,,"","",,,no
MGH53_P2_D10,MGH53,Macrophage,4575,3.1666,-44.1681,-0.06,-0.0852,Not cycling,1.6229,Stress/HSP,Stress/HSP,,,no
MGH53_P4_D03,MGH53,Macrophage,4336,3.1303,-40.5306,0.0881,-0.0991,Not cycling,0.5215,Lipid-associated,"",,,no
MGH53_P2_C04,MGH53,Macrophage,5471,3.3087,-40.1657,-0.1261,-0.0502,Not cycling,0.6281,MAC3,"",,,no
MGH53_P1_E08,MGH53,Macrophage,4255,3.6388,-40.6422,0.233,-0.1414,Not cycling,0.8084,MAC3,"",,,no
MGH54_P2_A08,MGH54,Macrophage,4465,3.5277,-40.5489,-0.0501,-0.0605,Not cycling,,"","",,,no
MGH36_P4_H07,MGH36,Macrophage,3866,-0.9308,-41.9262,-0.0477,-0.0418,Not cycling,,"","",,,no
MGH36_P9_D06,MGH36,Macrophage,3661,-0.0576,-41.4333,0.0171,0.0714,Not cycling,,"","",,,no
MGH53_P4_C04,MGH53,Macrophage,3044,2.9933,-41.6443,-0.0494,0.0696,Not cycling,1.4549,Stress/HSP,Stress/HSP,,,no
