cell_name,patient,cell_type
c0,p0,A
c1,p1,A
c2,p0,A
c3,p1,A
c4,p0,A
c5,p1,A
c6,p0,A
c7,p1,A
c8,p0,A
c9,p1,A
c10,p0,A
c11,p1,A
c12,p0,A
c13,p1,A
c14,p0,A
c15,p1,A
c16,p0,A
c17,p1,A
c18,p0,A
c19,p1,A
c20,p0,A
c21,p1,A
c22,p0,A
c23,p1,A
c24,p0,A
c25,p1,A
c26,p0,A
c27,p1,A
c28,p0,A
c29,p1,A
c30,p0,A
c31,p1,A
c32,p0,A
c33,p1,A
c34,p0,A
c35,p1,A
c36,p0,A
c37,p1,A
c38,p0,A
c39,p1,A
c40,p0,A
c41,p1,A
c42,p0,A
c43,p1,A
c44,p0,A
c45,p1,A
c46,p0,A
c47,p1,A
c48,p0,A
c49,p1,A
c50,p0,A
c51,p1,A
c52,p0,A
c53,p1,A
c54,p0,A
c55,p1,A
c56,p0,A
c57,p1,A
c58,p0,A
c59,p1,A
c60,p0,B
c61,p1,B
c62,p0,B
c63,p1,B
c64,p0,B
c65,p1,B
c66,p0,B
c67,p1,B
c68,p0,B
c69,p1,B
c70,p0,B
c71,p1,B
c72,p0,B
c73,p1,B
c74,p0,B
c75,p1,B
c76,p0,B
c77,p1,B
c78,p0,B
c79,p1,B
c80,p0,B
c81,p1,B
c82,p0,B
c83,p1,B
c84,p0,B
c85,p1,B
c86,p0,B
c87,p1,B
c88,p0,B
c89,p1,B
c90,p0,B
c91,p1,B
c92,p0,B
c93,p1,B
c94,p0,B
c95,p1,B
c96,p0,B
c97,p1,B
c98,p0,B
c99,p1,B
c100,p0,B
c101,p1,B
c102,p0,B
c103,p1,B
c104,p0,B
c105,p1,B
c106,p0,B
c107,p1,B
c108,p0,B
c109,p1,B
c110,p0,B
c111,p1,B
c112,p0,B
c113,p1,B
c114,p0,B
c115,p1,B
c116,p0,B
c117,p1,B
c118,p0,B
c119,p1,B
